,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M
63,Slovenia,"13,43,547",,"7,100",,"13,28,006",,"8,441",8,"6,46,547","3,417","28,47,701"
64,Lithuania,"13,19,306",,"9,674",,"13,08,077",,"1,555",1,"4,95,661","3,635","1,04,43,185"
65,Bulgaria,"13,05,755",,"38,351",,"12,64,880",,"2,524",32,"1,90,772","5,603","1,12,02,998"
66,Morocco,"12,73,832",,"16,297",,"12,56,151",,"1,384",3,"33,724",431,"1,30,01,033"
67,Croatia,"12,73,256",,"18,213",,"12,54,564",,479,6,"3,13,665","4,487","55,88,632"
68,Guatemala,"12,49,988",,"20,199",,"12,28,053",,"1,736",5,"67,261","1,087","72,73,915"
69,Lebanon,"12,37,127",,"10,906",,"10,87,587",,"1,38,634",74,"1,85,064","1,631","47,95,578"
70,Costa Rica,"12,29,587",,"9,362",,"8,60,711",,"3,59,514",52,"2,37,264","1,807","46,59,757"
71,Bolivia,"11,97,858",,"22,382",,"11,66,963",,"8,513",220,"99,883","1,866","27,05,422"
72,Tunisia,"11,53,063",,"29,407",,N/A,N/A,N/A,44,"95,716","2,441","50,11,219"
73,Cuba,"11,13,561",,"8,530",,"11,04,866",,165,2,"98,496",754,"1,43,45,279"
74,UAE,"10,64,502",,"2,349",,"10,49,329",,"12,824",,"1,05,587",233,"20,04,68,424"
75,Ecuador,"10,61,100",,"36,019",,"10,23,974",,"1,107",759,"58,581","1,989","30,82,403"
76,Panama,"10,37,978",,"8,622",,"10,28,773",,583,16,"2,33,413","1,939","76,71,671"
77,Uruguay,"10,37,893",,"7,625",,"10,29,835",,433,18,"2,96,879","2,181","61,14,822"
78,Mongolia,"10,08,038",,"2,179",,"10,05,814",,45,192,"2,98,406",645,"40,30,048"
79,Nepal,"10,03,184",,"12,031",,"9,91,033",,120,,"33,190",398,"60,39,941"
80,Belarus,"9,94,037",,"7,118",,"9,85,592",,"1,327",,"1,05,381",755,"1,36,46,641"
81,Latvia,"9,77,788",,"6,329",,"9,71,214",,245,13,"5,28,867","3,423","78,74,953"
82,Saudi Arabia,"8,41,469",,"9,646",,"8,27,923",,"3,900",66,"23,475",269,"4,54,81,735"
83,Azerbaijan,"8,31,599",,"10,260",,"8,21,201",,138,,"80,736",996,"76,00,248"
84,Paraguay,"8,09,955",,"19,921",,N/A,N/A,N/A,7,"1,10,864","2,727","26,57,506"
85,Bahrain,"7,20,865",,"1,562",,"7,18,905",,398,1,"4,04,076",876,"1,08,37,896"
86,Sri Lanka,"6,72,241",,"16,851",,"6,55,358",,32,,"31,157",781,"64,86,117"
87,Kuwait,"6,65,851",,"2,570",,"6,60,237",,"3,044",,"1,52,009",587,"84,55,743"
88,Dominican Republic,"6,61,103",,"4,384",,"6,44,785",,"11,934",4,"59,794",397,"37,40,928"
89,Cyprus,"6,60,854",,"1,364",,"6,57,086",,"2,404",60,"5,40,184","1,115","96,40,118"
90,Myanmar,"6,36,810",,"19,493",,"6,15,630",,"1,687",,"11,531",353,"1,04,83,406"
91,Palestine,"6,21,008",,"5,404",,"6,15,445",,159,17,"1,16,173","1,011","30,78,533"
92,Moldova,"6,20,419",,"12,113",,"5,04,142",,"1,04,164",49,"1,54,596","3,018","32,16,305"
93,Estonia,"6,18,218",,"3,001",,"5,24,990",,"90,227",2,"4,67,670","2,270","37,07,220"
94,Venezuela,"5,52,695",,"5,856",,"5,46,537",,302,31,"18,885",200,"33,59,014"
95,Egypt,"5,16,023",,"24,613",,"4,42,182",,"49,228",122,"4,861",232,"36,93,367"
96,Qatar,"5,10,596",,690,,"5,08,999",,907,29,"1,71,346",232,"40,65,369"
97,Libya,"5,07,253",,"6,437",,"5,00,815",,1,,"72,045",914,"24,83,848"
98,Ethiopia,"5,00,867",,"7,574",,"4,88,023",,"5,270",1,"4,146",63,"55,45,889"
99,Réunion,"4,86,588",,921,,"4,18,572",,"67,095",10,"5,35,854","1,014","16,03,660"
100,Honduras,"4,72,594",,"11,114",,N/A,N/A,N/A,105,"46,236","1,087","16,58,999"
101,Armenia,"4,49,062",,"8,747",,"4,35,162",,"5,153",,"1,51,099","2,943","32,42,901"
102,Bosnia and Herzegovina,"4,02,890",,"16,339",,"3,79,084",,"7,467",,"1,23,992","5,028","18,84,721"
103,Oman,"3,99,449",,"4,628",,"3,84,669",,"10,152",2,"75,028",869,"2,50,00,000"
104,North Macedonia,"3,48,215",,"9,676",,"3,37,068",,"1,471",,"1,67,306","4,649","22,26,216"
105,Zambia,"3,43,995",,"4,058",,"3,39,858",,79,,"17,668",208,"40,47,915"
106,Kenya,"3,43,073",,"5,688",,"3,37,309",,76,1,"6,103",101,"39,67,062"
107,Albania,"3,34,726",,"3,602",,"3,29,428",,"1,696",,"1,16,777","1,257","19,41,032"
108,Botswana,"3,29,856",,"2,801",,"3,27,049",,6,1,"1,35,123","1,147","20,26,898"
109,Luxembourg,"3,19,959",,"1,232",,"3,16,690",,"2,037",,"4,98,091","1,918","45,87,145"
110,Brunei ,"2,92,644",,225,,"2,43,601",,"48,818",3,"6,56,991",505,"7,17,784"
111,Montenegro,"2,91,738",,"2,826",,"2,88,328",,584,6,"4,64,588","4,500","27,51,774"
112,Algeria,"2,71,798",,"6,881",,"1,83,008",,"81,909",,"5,993",152,"2,30,960"
113,Nigeria,"2,66,675",,"3,155",,"2,59,953",,"3,567",11,"1,230",15,"57,08,974"
114,Zimbabwe,"2,64,776",,"5,689",,"2,58,888",,199,12,"17,270",371,"25,25,756"
115,Uzbekistan,"2,53,287",,"1,637",,"2,41,486",,"10,164",23,"7,367",48,"13,77,915"
116,Mozambique,"2,33,417",,"2,243",,"2,28,805",,"2,369",11,"7,054",68,"13,71,127"
117,Martinique,"2,29,900",,"1,100",,N/A,N/A,N/A,12,"6,14,563","2,940","8,28,928"
118,Afghanistan,"2,18,262",,"7,905",,"1,94,819",,"15,538",45,"5,356",194,"12,45,531"
119,Laos,"2,18,096",4,758,,N/A,N/A,N/A,,"29,153",101,"12,33,207"
120,Iceland,"2,09,191",,229,,N/A,N/A,N/A,2,"6,05,661",663,"19,96,384"
121,Kyrgyzstan,"2,06,888",,"2,991",,"1,96,406",,"7,491",131,"30,749",445,"19,07,195"
122,Guadeloupe,"2,02,653",,"1,017",,N/A,N/A,N/A,19,"5,06,894","2,544","9,38,039"
123,El Salvador,"2,01,785",,"4,230",,"1,79,410",,"18,145",8,"30,805",646,"26,10,114"
124,Trinidad and Tobago,"1,91,496",,"4,390",,"1,87,078",,28,8,"1,36,143","3,121","9,13,289"
